run_id,run_question,run_answer,run_prediction,input_ner,input_intent,input_confidence,retrieval_recall_at_k,retrieval_precision_at_k,retrieval_mrr,retrieval_ndcg,llm_factuality,llm_contradiction,llm_relevance,llm_attribution_rate,llm_coverage,input_score,retrieval_score,llm_score,index,rouge_N,rouge_L,bleu
1,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,"According to the text, Jim Cummings voiced Dr. Robotnik from ""Sonic the Hedgehog"", and also voiced Winnie the Pooh and other characters. Therefore, I can answer that the singer who voiced the hedgehog is Jim Cummings.",1.0,0.7946424782276154,0.9178569912910461,0.831081081081081,1.0,1.0,0.9999998749063398,0.5533231496810913,0.408797898888588,0.6942350268363953,0.5,1.0,0.9041664898395538,0.9577702389968552,0.6312712150812149,0.8191300670570039,0.05405405405405406,0.05405405405405406,0.0
2,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,"According to the text, Jim Cummings voiced Dr. Robotnik from ""Sonic the Hedgehog"", and also voiced Winnie the Pooh and other characters. Therefore, I can answer that the singer who voiced the hedgehog is Jim Cummings.",1.0,0.7946424782276154,0.9178569912910461,0.831081081081081,1.0,1.0,0.9999998749063398,0.5533231496810913,0.408797898888588,0.6942350268363953,0.5,1.0,0.9041664898395538,0.9577702389968552,0.6312712150812149,0.8191300670570039,0.05405405405405406,0.05405405405405406,0.0
3,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,I don't know which singer also voiced the hedgehog that James Cummings (the singer of A Rather Blustery Day) voiced.,1.0,0.7946424782276154,0.9178569912910461,0.831081081081081,1.0,1.0,0.9999998749063398,0.5533231496810913,0.408797898888588,0.8354660272598267,1.0,1.0,0.9041664898395538,0.9577702389968552,0.7595174151659012,0.8704285470908785,0.0,0.0,0.0
4,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,"I don't know which hedgehog was voiced by the singer of ""A Rather Blustery Day"".",1.0,0.7946424782276154,0.9178569912910461,0.831081081081081,1.0,1.0,0.9999998749063398,0.5533231496810913,0.408797898888588,0.9411775469779968,0.0,1.0,0.9041664898395538,0.9577702389968552,0.5806597191095352,0.7988854686683321,0.0,0.0,0.0
5,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,"I don't know which hedgehog was voiced by Jim Cummings, who also sang ""A Rather Blustery Day"".",1.0,0.7946424782276154,0.9178569912910461,0.831081081081081,1.0,1.0,0.9999998749063398,0.5533231496810913,0.408797898888588,0.8235822319984436,0.0,1.0,0.9041664898395538,0.9577702389968552,0.5571406561136245,0.7894778434699679,0.0,0.0,0.0
6,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,"The singer who voiced Dr. Robotnik (Sonic the Hedgehog) and also sang ""A Rather Blustery Day"" is Jim Cummings.",1.0,0.7946424782276154,0.9178569912910461,0.831081081081081,1.0,1.0,0.9999998749063398,0.5533231496810913,0.408797898888588,0.772643506526947,0.0,1.0,0.9041664898395538,0.9577702389968552,0.5469529110193252,0.7854027454322481,0.1,0.1,0.0
7,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,"According to the text, Jim Cummings voiced Dr. Robotnik from ""Sonic the Hedgehog"", and also voiced Winnie the Pooh. Therefore, I will answer: Sonic the Hedgehog.",1.0,0.7946424782276154,0.9178569912910461,0.831081081081081,1.0,1.0,0.9999998749063398,0.5533231496810913,0.408797898888588,0.6162492632865906,0.5,1.0,0.9041664898395538,0.9577702389968552,0.615674062371254,0.8128912059730196,0.07407407407407407,0.07407407407407407,0.012403473458920851
8,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,"According to the text, Jim Cummings voiced Dr. Robotnik from ""Sonic the Hedgehog"" and also voiced Winnie the Pooh and other characters. However, it does not explicitly state that he voiced Sonic the Hedgehog himself. 

The correct answer is: I don't know",1.0,0.7946424782276154,0.9178569912910461,0.831081081081081,1.0,1.0,0.9999998749063398,0.5533231496810913,0.408797898888588,0.6210746765136719,0.3333333333333333,1.0,0.9041664898395538,0.9577702389968552,0.583305811683337,0.7999439056978528,0.04545454545454545,0.04545454545454545,0.0076204992809868755
9,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,The singer who voiced Winnie the Pooh and also voiced Sonic the Hedgehog's nemesis Dr. Robotnik is Jim Cummings.,1.0,0.7946424782276154,0.9178569912910461,0.831081081081081,1.0,1.0,0.9999998749063398,0.5533231496810913,0.408797898888588,0.6314806938171387,1.0,1.0,0.9041664898395538,0.9577702389968552,0.7187203484773635,0.8541097204154634,0.09523809523809523,0.09523809523809523,0.017099639201419235
10,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,The singer who voiced Winnie the Pooh and also voiced Sonic the Hedgehog was Jim Cummings.,1.0,0.7946424782276154,0.9178569912910461,0.831081081081081,1.0,1.0,0.9999998749063398,0.5533231496810913,0.408797898888588,0.7064037919044495,1.0,1.0,0.9041664898395538,0.9577702389968552,0.7337049680948258,0.8601035682624483,0.11764705882352941,0.11764705882352941,0.02041241452319315
