run_id,run_question,run_answer,run_prediction,input_ner,input_intent,input_confidence,retrieval_recall_at_k,retrieval_precision_at_k,retrieval_mrr,retrieval_ndcg,llm_factuality,llm_contradiction,llm_relevance,llm_attribution_rate,llm_coverage,input_score,retrieval_score,llm_score,index,rouge_N,rouge_L,bleu,llm_as_a_judge-score
1,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,Ralph Hefferline was a psychology professor at Columbia University in New York City.,1.0,0.940257966518402,0.9761031866073608,0.8333333333333334,0.66,0.28,0.9999999600872368,0.5254277586936951,0.2527705162763595,0.9215635061264038,1.0,1.0,0.9721203843752544,0.6933333233551426,0.7399523562192917,0.753798995653819,0.375,0.375,0.1132277034144595,0.925
2,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,Ralph Hefferline was a psychology professor at Columbia University in New York City.,1.0,0.940257966518402,0.9761031866073608,0.8333333333333334,0.66,0.28,0.9999999600872368,0.5254277586936951,0.2527705162763595,0.9215635061264038,1.0,1.0,0.9721203843752544,0.6933333233551426,0.7399523562192917,0.753798995653819,0.375,0.375,0.1132277034144595,0.917
3,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,"Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City.",1.0,0.940257966518402,0.9761031866073608,0.8333333333333334,0.66,0.28,0.9999999600872368,0.5254277586936951,0.2527705162763595,0.920510232448578,1.0,1.0,0.9721203843752544,0.6933333233551426,0.7397417014837264,0.7537147337595929,0.3157894736842105,0.3157894736842105,0.0912870929175276,0.841
4,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,"Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City.",1.0,0.940257966518402,0.9761031866073608,0.8333333333333334,0.66,0.28,0.9999999600872368,0.5254277586936951,0.2527705162763595,0.920510232448578,1.0,1.0,0.9721203843752544,0.6933333233551426,0.7397417014837264,0.7537147337595929,0.3157894736842105,0.3157894736842105,0.0912870929175276,0.843
5,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,Columbia University is located in New York City.,1.0,0.940257966518402,0.9761031866073608,0.8333333333333334,0.66,0.28,0.9999999600872368,0.5254277586936951,0.2527705162763595,0.4620468020439148,1.0,1.0,0.9721203843752544,0.6933333233551426,0.6480490154027938,0.7170376593272199,0.5454545454545454,0.5454545454545454,0.1889822365046135,0.726
6,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,"Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City.",1.0,0.940257966518402,0.9761031866073608,0.8333333333333334,0.66,0.28,0.9999999600872368,0.5254277586936951,0.2527705162763595,0.920510232448578,1.0,1.0,0.9721203843752544,0.6933333233551426,0.7397417014837264,0.7537147337595929,0.3157894736842105,0.3157894736842105,0.0912870929175276,0.8380000000000001
7,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,"Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City.",1.0,0.940257966518402,0.9761031866073608,0.8333333333333334,0.66,0.28,0.9999999600872368,0.5254277586936951,0.2527705162763595,0.920510232448578,1.0,1.0,0.9721203843752544,0.6933333233551426,0.7397417014837264,0.7537147337595929,0.3157894736842105,0.3157894736842105,0.0912870929175276,0.8380000000000001
8,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,Columbia University is located in New York City.,1.0,0.940257966518402,0.9761031866073608,0.8333333333333334,0.66,0.28,0.9999999600872368,0.5254277586936951,0.2527705162763595,0.4620468020439148,1.0,1.0,0.9721203843752544,0.6933333233551426,0.6480490154027938,0.7170376593272199,0.5454545454545454,0.5454545454545454,0.1889822365046135,0.721
9,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,Columbia University is located in New York City.,1.0,0.940257966518402,0.9761031866073608,0.8333333333333334,0.66,0.28,0.9999999600872368,0.5254277586936951,0.2527705162763595,0.4620468020439148,1.0,1.0,0.9721203843752544,0.6933333233551426,0.6480490154027938,0.7170376593272199,0.5454545454545454,0.5454545454545454,0.1889822365046135,0.716
10,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,"Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City.",1.0,0.940257966518402,0.9761031866073608,0.8333333333333334,0.66,0.28,0.9999999600872368,0.5254277586936951,0.2527705162763595,0.920510232448578,1.0,1.0,0.9721203843752544,0.6933333233551426,0.7397417014837264,0.7537147337595929,0.3157894736842105,0.3157894736842105,0.0912870929175276,0.8390000000000001
