run_id,run_question,run_answer,run_prediction,input_ner,input_intent,input_confidence,retrieval_recall_at_k,retrieval_precision_at_k,retrieval_mrr,retrieval_ndcg,llm_factuality,llm_contradiction,llm_relevance,llm_attribution_rate,llm_coverage,input_score,retrieval_score,llm_score,index,rouge_N,rouge_L,bleu,llm_as_a_judge-score
1,"Meaning 'reddish water' in Hawaiian, which location was Butch Van Artsdalen known for surfing 25-foot waves at?",Waimea Bay,"Butch Van Artsdalen was known for surfing 25-foot waves at Waimea Bay and Sunset Beach on the North Shore of O'ahu, but also specifically mentioned as a pioneer of surfing 25-foot waves at such North Shore locations as Waimea Bay. 

Additionally, Waimea is Hawaiian for ""reddish water"", which refers to the erosion of the canyon's red soil, in reference to Waimea Canyon.",1.0,0.9791400134563446,0.9916560053825378,0.9,0.7,0.29,0.9999999115032726,0.655501127243042,0.3112386420369148,0.8128169178962708,1.0,1.0,0.9902653396129608,0.7224999778758182,0.7559113374352455,0.7760293259601605,0.0588235294117647,0.0588235294117647,0.0229961024909136,0.9359999999999996
2,"Meaning 'reddish water' in Hawaiian, which location was Butch Van Artsdalen known for surfing 25-foot waves at?",Waimea Bay,"Butch Van Artsdalen was known for surfing 25-foot waves at Waimea Bay and Sunset Beach on the North Shore of O'ahu, but also specifically mentioned as a pioneer of surfing 25-foot waves at such North Shore locations as Waimea Bay. 

Additionally, Waimea is Hawaiian for ""reddish water"", which refers to the erosion of the canyon's red soil, in reference to Waimea Canyon.",1.0,0.9791400134563446,0.9916560053825378,0.9,0.7,0.29,0.9999999115032726,0.655501127243042,0.3112386420369148,0.8128169178962708,1.0,1.0,0.9902653396129608,0.7224999778758182,0.7559113374352455,0.7760293259601605,0.0588235294117647,0.0588235294117647,0.0229961024909136,0.9259999999999998
3,"Meaning 'reddish water' in Hawaiian, which location was Butch Van Artsdalen known for surfing 25-foot waves at?",Waimea Bay,"According to the text, Butch Van Artsdalen was known for surfing 25-foot waves at Waimea Bay and Sunset Beach on the North Shore of O'ahu in Hawaii.",1.0,0.9791400134563446,0.9916560053825378,0.9,0.7,0.29,0.9999999115032726,0.655501127243042,0.3112386420369148,0.7796568274497986,1.0,1.0,0.9902653396129608,0.7224999778758182,0.749279319345951,0.7733765187244428,0.1290322580645161,0.1290322580645161,0.0533760512683623,0.7649999999999999
4,"Meaning 'reddish water' in Hawaiian, which location was Butch Van Artsdalen known for surfing 25-foot waves at?",Waimea Bay,"The location Butch Van Artsdalen was known for surfing 25-foot waves at is Waimea Bay on the North Shore of O'ahu in Hawaii, which means ""reddish water"" in Hawaiian.",1.0,0.9791400134563446,0.9916560053825378,0.9,0.7,0.29,0.9999999115032726,0.655501127243042,0.3112386420369148,0.8871697783470154,1.0,1.0,0.9902653396129608,0.7224999778758182,0.7707819095253944,0.78197755479622,0.1212121212121212,0.1212121212121212,0.0496291666985465,0.938
5,"Meaning 'reddish water' in Hawaiian, which location was Butch Van Artsdalen known for surfing 25-foot waves at?",Waimea Bay,"Butch Van Artsdalen was known for surfing 25-foot waves at Waimea Bay on the North Shore of O'ahu in Hawaii, which is also referred to as ""reddish water"" in Hawaiian.",1.0,0.9791400134563446,0.9916560053825378,0.9,0.7,0.29,0.9999999115032726,0.655501127243042,0.3112386420369148,0.9020322561264038,1.0,1.0,0.9902653396129608,0.7224999778758182,0.7737544050812721,0.7831665530185712,0.1176470588235294,0.1176470588235294,0.0479463301485384,0.9259999999999998
6,"Meaning 'reddish water' in Hawaiian, which location was Butch Van Artsdalen known for surfing 25-foot waves at?",Waimea Bay,"Butch Van Artsdalen was known for surfing 25-foot waves at Waimea Bay on the North Shore of O'ahu in Hawaii, which is a location that means ""reddish water"" in Hawaiian.",1.0,0.9791400134563446,0.9916560053825378,0.9,0.7,0.29,0.9999999115032726,0.655501127243042,0.3112386420369148,0.8986997008323669,1.0,1.0,0.9902653396129608,0.7224999778758182,0.7730878940224647,0.7828999485950482,0.1176470588235294,0.1176470588235294,0.0479463301485384,0.9179999999999998
7,"Meaning 'reddish water' in Hawaiian, which location was Butch Van Artsdalen known for surfing 25-foot waves at?",Waimea Bay,Waimea Bay and Sunset Beach on the North Shore of O'ahu are locations where Butch Van Artsdalen was known for surfing 25-foot waves.,1.0,0.9791400134563446,0.9916560053825378,0.9,0.7,0.29,0.9999999115032726,0.655501127243042,0.3112386420369148,0.6545955538749695,1.0,1.0,0.9902653396129608,0.7224999778758182,0.7242670646309852,0.7633716168384563,0.1481481481481481,0.1481481481481481,0.0628694613461931,0.775
8,"Meaning 'reddish water' in Hawaiian, which location was Butch Van Artsdalen known for surfing 25-foot waves at?",Waimea Bay,"The location Butch Van Artsdalen was known for surfing 25-foot waves at is Waimea Bay and Sunset Beach on the North Shore of O'ahu, Hawaii.",1.0,0.9791400134563446,0.9916560053825378,0.9,0.7,0.29,0.9999999115032726,0.655501127243042,0.3112386420369148,0.7572217583656311,1.0,1.0,0.9902653396129608,0.7224999778758182,0.7447923055291176,0.7715817131977094,0.1379310344827586,0.1379310344827586,0.0577350269189625,0.7649999999999999
9,"Meaning 'reddish water' in Hawaiian, which location was Butch Van Artsdalen known for surfing 25-foot waves at?",Waimea Bay,"Butch Van Artsdalen was known for surfing 25-foot waves at Waimea Bay on the North Shore of O'ahu in Hawaii, which means ""reddish water"" in Hawaiian.",1.0,0.9791400134563446,0.9916560053825378,0.9,0.7,0.29,0.9999999115032726,0.655501127243042,0.3112386420369148,0.9045739769935608,1.0,1.0,0.9902653396129608,0.7224999778758182,0.7742627492547035,0.7833698906879437,0.1333333333333333,0.1333333333333333,0.0554700196225229,0.93
10,"Meaning 'reddish water' in Hawaiian, which location was Butch Van Artsdalen known for surfing 25-foot waves at?",Waimea Bay,"The location known for ""reddish water"" where Butch Van Artsdalen surfed 25-foot waves at is Waimea Bay, located on the North Shore of O'ahu in Hawaii.",1.0,0.9791400134563446,0.9916560053825378,0.9,0.7,0.29,0.9999999115032726,0.655501127243042,0.3112386420369148,0.8070233464241028,1.0,1.0,0.9902653396129608,0.7224999778758182,0.7547526231408119,0.7755658402423871,0.1333333333333333,0.1333333333333333,0.0124034734589208,0.9409999999999998
